Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
64	1887.75	19.587942	1915.0	1865.0	5.0	5.7445626	14.0	0.0	1000.0	189.4938	2.9435825	193.63966	127.39337	260000	4.768372e-09	23.644007	-0.018026551	-4.1751137	0.8415282	0.0025480287	0.051	79.0	395.17667961120605
65	1906.5	11.146749	1923.0	1892.0	0.0	0.0	0.0	0.0	1000.0	189.12758	0.9085386	192.11987	176.75984	264000	-2.8491021e-08	6.4965143	-0.015085582	-2.1227355	0.82113177	0.00583725	0.055	79.0	398.8825581073761
66	1914.75	6.7221646	1925.0	1907.0	0.0	0.0	0.0	0.0	1000.0	190.43791	1.0908463	193.5875	181.27635	268000	3.0994414e-09	4.6242094	-0.014899751	-1.7687781	0.7779761	0.0022653278	0.03575	79.0	402.61870288848877
67	1910.0	10.511898	1924.0	1896.0	0.0	0.0	0.0	0.0	1000.0	191.47859	0.61683285	193.21915	183.85799	272000	-4.3034554e-08	3.0031812	-0.01673683	-0.3820243	0.7551555	0.005804407	0.051	79.0	406.4271047115326
68	1893.5	32.653484	1922.0	1838.0	6.25	10.825317	25.0	0.0	1000.0	190.56099	2.2053907	191.82726	166.77155	276000	1.9013882e-08	43.618626	-0.017210372	-8.214607	0.7244502	0.005439658	0.0435	79.0	410.29795265197754
69	1910.25	2.1650636	1913.0	1907.0	0.0	0.0	0.0	0.0	1000.0	189.46103	4.0531363	190.96391	130.4002	280000	1.5616417e-08	16.423237	-0.0018272236	-13.212385	0.7290809	0.014929886	0.118	2.0	413.28202056884766
70	1917.75	0.8291562	1919.0	1917.0	0.0	0.0	0.0	0.0	1000.0	190.87456	0.7594098	193.24185	183.01225	284000	-7.3909763e-09	3.1493547	-0.016333397	-0.9557853	0.7290808	0.0024401392	0.0605	79.0	417.0608215332031
71	1919.5	9.836158	1927.0	1903.0	0.75	1.299038	3.0	0.0	1000.0	191.61868	0.71913064	193.59511	184.2199	288000	-3.695488e-09	4.37534	-0.014722323	-0.61982346	0.7075797	0.0040941034	0.0475	79.0	420.984384059906
72	1917.25	20.461855	1940.0	1886.0	3.25	5.0682836	12.0	0.0	1000.0	191.59975	1.0610605	193.70349	179.55617	292000	2.2649765e-08	22.31275	-0.022873446	-4.382042	0.6966431	0.0034582652	0.0555	79.0	424.7949631214142
73	1918.25	8.785642	1928.0	1904.0	0.0	0.0	0.0	0.0	1000.0	191.24385	1.0889797	192.6646	176.03085	296000	-6.1988827e-09	4.449747	-0.016785793	-0.96677256	0.7170444	0.0026435233	0.051	79.0	428.6505448818207
74	1925.5	6.1846585	1935.0	1918.0	0.0	0.0	0.0	0.0	1000.0	191.49432	2.5519304	193.06418	141.39975	300000	-7.1525563e-10	10.426524	-0.005574081	-6.750615	0.6888129	0.013342655	0.139	4.0	441.26357793807983
75	1906.5	38.694313	1939.0	1841.0	5.25	9.0932665	21.0	0.0	1000.0	191.96844	3.0789697	193.7992	147.93388	304000	1.5288592e-08	41.41884	-0.000264984	-3.6167068	0.688109	0.01614321	0.185	2.0	444.6650342941284
76	1570.75	600.32715	1926.0	531.0	1.25	2.1650636	5.0	0.0	833.75	190.36397	7.601843	193.17145	53.26191	308000	4.529953e-09	850.2528	-0.008284797	-519.7464	0.6878144	0.012199322	0.15925	6.0	447.68902134895325
77	1917.75	7.154544	1926.0	1908.0	0.0	0.0	0.0	0.0	1000.0	184.63765	17.72452	190.17665	-20.504889	312000	-1.347065e-08	342.01968	0.00035671124	-333.01666	0.68718946	0.012905749	0.111	2.0	450.71573185920715
78	1922.25	11.076439	1937.0	1907.0	0.0	0.0	0.0	0.0	1000.0	190.50182	2.8720198	191.25221	132.045	316000	-2.1278858e-08	13.21572	-0.0009372989	-8.453859	0.6871294	0.014172145	0.19575	2.0	453.6762819290161
79	1908.25	9.73075	1925.0	1901.0	0.0	0.0	0.0	0.0	1000.0	192.25781	1.2707261	192.41318	125.88206	320000	-3.1352045e-08	5.0469728	-0.011585797	-2.799886	0.68699956	0.005666258	0.04725	79.0	457.6088562011719
